HARGA;LT;LB;JKT;JKM;Kota;
968000000;41;68;4;3;Bandung;
17000000000;612;503;4;3;Bandung;
2900000000;348;200;4;2;Bandung;
4500000000;280;330;4;3;Bandung;
1450000000;180;350;10;6;Bandung;
5300000000;270;160;5;4;Bandung;
3800000000;202;300;4;3;Bandung;
3700000000;250;200;3;2;Bandung;
550000000;125;115;3;2;Bandung;
3600000000;202;300;4;3;Bandung;
1400000000;137;160;2;2;Bandung;
1400000000;137;160;2;2;Bandung;
5500000000;392;260;5;4;Bandung;
5500000000;392;260;5;4;Bandung;
1800000000;170;210;4;2;Bandung;
4500000000;404;300;4;2;Bandung;
550000000;125;115;3;2;Bandung;
20000000000;235;235;1;1;Bandung;
850000000;84;120;4;1;Bandung;
5800000000;400;400;4;3;Bandung;
3500000000;240;200;4;2;Bandung;
2900000000;131;260;0;2;Bandung;
850000000;84;120;4;1;Bandung;
1000000000;39;52;2;2;Bandung;
5600000000;394;420;0;0;Bandung;
1990000000;104;125;4;3;Bandung;
1990000000;104;125;4;2;Bandung;
2100000000;177;162;2;2;Bandung;
8900000000;414;300;6;4;Bandung;
580000000;30;80;2;2;Bandung;
850000000;84;120;4;3;Bandung;
1300000000;176;176;11;3;Bandung;
4150000000;306;400;4;4;Bandung;
1300000000;145;150;4;2;Bandung;
2550000000;233;326;24;8;Bandung;
2200000000;135;200;2;2;Bandung;
6850000000;483;600;2;4;Bandung;
2250000000;233;326;24;8;Bandung;
1400000000;147;132;3;2;Bandung;
1950000000;122;150;3;3;Bandung;
1640000000;75;140;4;3;Bandung;
1900000000;251;160;4;3;Bandung;
865000000;65;225;3;2;Bandung;
1300000000;140;120;3;1;Bandung;
4000000000;239;400;5;4;Bandung;
2170000000;157;252;20;20;Bandung;
5500000000;312;650;5;3;Bandung;
600000000;76;60;2;1;Bandung;
12000000000;305;500;4;3;Bandung;
2300000000;134;200;4;3;Bandung;
3400000000;311;264;5;2;Bandung;
1200000000;177;120;3;1;Bandung;
5500000000;328;400;6;3;Bandung;
1100000000;99;190;19;5;Bandung;
500000000;50;71;2;1;Bandung;
2500000000;235;175;3;2;Bandung;
1300000000;118;100;2;1;Bandung;
985000000;101;160;2;2;Bandung;
2500000000;96;192;4;3;Bandung;
958000000;101;160;2;2;Bandung;
550000000;87;60;2;1;Bandung;
2600000000;234;137;3;2;Bandung;
1950000000;122;150;3;3;Bandung;
3100000000;200;350;4;3;Bandung;
1200000000;90;110;3;1;Bandung;
2500000000;91;200;4;3;Bandung;
1600000000;97;153;2;1;Bandung;
2170000000;157;252;20;20;Bandung;
2150000000;233;326;24;8;Bandung;
1600000000;129;100;3;2;Bandung;
1900000000;106;240;5;3;Bandung;
1650000000;97;140;3;2;Bandung;
1900000000;106;240;5;3;Bandung;
1900000000;106;240;5;3;Bandung;
1700000000;157;145;4;3;Bandung;
2850000000;200;150;0;2;Bandung;
150000000;60;36;2;1;Bandung;
1550000000;75;140;3;2;Bandung;
2800000000;233;326;24;8;Bandung;
9400000000;724;1777;38;38;Bandung;
1550000000;75;140;3;2;Bandung;
1650000000;97;140;4;2;Bandung;
1650000000;97;140;4;2;Bandung;
1600000000;181;68;2;1;Bandung;
1550000000;75;140;3;2;Bandung;
350000000;70;70;1;1;Bandung;
2500000000;180;150;3;2;Bandung;
1550000000;75;140;3;2;Bandung;
1850000000;221;250;3;2;Bandung;
1900000000;106;240;5;3;Bandung;
1500000000;91;80;3;1;Bandung;
1600000000;75;140;3;2;Bandung;
1750000000;212;325;20;20;Bandung;
3950000000;127;250;3;3;Bandung;
3900000000;225;450;10;7;Bandung;
650000000;82;100;4;2;Bandung;
1100000000;94;120;2;2;Bandung;
12000000000;483;550;5;4;Bandung;
50000000000;1100;3000;53;60;Bandung;
950000000;84;200;4;3;Bandung;
33000000000;915;450;5;4;Bandung;
1600000000;75;140;3;2;Bandung;
2500000000;131;200;4;4;Bandung;
2500000000;121;200;4;3;Bandung;
3250000000;421;165;3;2;Bandung;
3900000000;121;245;4;3;Bandung;
6600000000;528;405;0;0;Bandung;
3100000000;200;350;4;3;Bandung;
